file,M_filtered,alpha,k,lag,rho_orig,rho_fgn,rho_surr,ci_95,orig_sig,fgn_sig,surr_sig
PG1257_text.txt,82596,0.727,1,1,0.06021,0.00719,-0.00248,0.00682,1,1,0
PG1257_text.txt,82596,0.727,1,2,0.03114,0.00225,0.0049,0.00682,1,0,0
PG1257_text.txt,82596,0.727,1,5,0.01585,-0.00432,-0.00398,0.00682,1,0,0
PG1257_text.txt,82596,0.727,1,10,0.01449,0.00497,-0.00422,0.00682,1,0,0
PG1257_text.txt,82596,0.727,1,20,0.01659,-0.00069,-0.00076,0.00682,1,0,0
PG1257_text.txt,82596,0.727,1,50,0.01133,0.00292,0.00188,0.00682,1,0,0
PG1257_text.txt,82596,0.727,1,100,-0.0018,0.0046,0.00331,0.00682,0,0,0
PG1257_text.txt,82596,0.727,1,200,-0.00439,0.0034,0.00063,0.00682,0,0,0
PG1257_text.txt,82596,0.727,1,300,0.00434,0.00063,0.0023,0.00682,0,0,0
PG1257_text.txt,82596,0.727,2,1,0.19021,0.00419,0.00444,0.00682,1,0,0
PG1257_text.txt,82596,0.727,2,2,0.12935,0.00026,0.00945,0.00682,1,0,1
PG1257_text.txt,82596,0.727,2,5,0.08088,0.00032,-4e-05,0.00682,1,0,0
PG1257_text.txt,82596,0.727,2,10,0.0544,0.00199,0.00303,0.00682,1,0,0
PG1257_text.txt,82596,0.727,2,20,0.03707,0.00021,-0.00521,0.00682,1,0,0
PG1257_text.txt,82596,0.727,2,50,0.02377,0.00062,-2e-05,0.00682,1,0,0
PG1257_text.txt,82596,0.727,2,100,0.02275,0.0047,-0.00786,0.00682,1,0,1
PG1257_text.txt,82596,0.727,2,200,0.01621,0.0025,0.00168,0.00682,1,0,0
PG1257_text.txt,82596,0.727,2,300,0.0136,-0.00179,-0.00324,0.00682,1,0,0
PG1257_text.txt,82596,0.727,3,1,0.09339,0.01106,-0.00217,0.00682,1,1,0
PG1257_text.txt,82596,0.727,3,2,0.06271,0.00108,-0.0009,0.00682,1,0,0
PG1257_text.txt,82596,0.727,3,5,0.02898,0.00589,-1e-05,0.00682,1,0,0
PG1257_text.txt,82596,0.727,3,10,0.02433,-0.00616,0.00341,0.00682,1,0,0
PG1257_text.txt,82596,0.727,3,20,0.0185,-0.00039,-0.00178,0.00682,1,0,0
PG1257_text.txt,82596,0.727,3,50,0.02134,-0.00122,-0.00272,0.00682,1,0,0
PG1257_text.txt,82596,0.727,3,100,0.01629,-0.00142,0.00306,0.00682,1,0,0
PG1257_text.txt,82596,0.727,3,200,0.00766,-0.00606,-0.0018,0.00682,1,0,0
PG1257_text.txt,82596,0.727,3,300,0.00764,0.00323,-0.00276,0.00682,1,0,0
PG1257_text.txt,82596,0.727,4,1,0.17404,-0.00032,0.00421,0.00682,1,0,0
PG1257_text.txt,82596,0.727,4,2,0.12476,0.00238,-0.00534,0.00682,1,0,0
PG1257_text.txt,82596,0.727,4,5,0.08199,0.00775,0.00263,0.00682,1,1,0
PG1257_text.txt,82596,0.727,4,10,0.0622,0.00035,0.00493,0.00682,1,0,0
PG1257_text.txt,82596,0.727,4,20,0.04808,-0.00085,-0.00206,0.00682,1,0,0
PG1257_text.txt,82596,0.727,4,50,0.03166,-0.00603,-0.0031,0.00682,1,0,0
PG1257_text.txt,82596,0.727,4,100,0.02412,-0.00243,0.00443,0.00682,1,0,0
PG1257_text.txt,82596,0.727,4,200,0.01874,0.00454,-0.00376,0.00682,1,0,0
PG1257_text.txt,82596,0.727,4,300,0.01268,-0.00208,-0.00206,0.00682,1,0,0
PG1257_text.txt,82596,0.727,5,1,0.09433,-0.00131,-0.0005,0.00682,1,0,0
PG1257_text.txt,82596,0.727,5,2,0.05086,-0.00117,0.00235,0.00682,1,0,0
PG1257_text.txt,82596,0.727,5,5,0.03645,0.00604,-0.00018,0.00682,1,0,0
PG1257_text.txt,82596,0.727,5,10,0.02966,0.00407,-0.00024,0.00682,1,0,0
PG1257_text.txt,82596,0.727,5,20,0.02312,0.00176,-0.00033,0.00682,1,0,0
PG1257_text.txt,82596,0.727,5,50,0.01071,0.00064,0.00148,0.00682,1,0,0
PG1257_text.txt,82596,0.727,5,100,0.01437,0.00088,-0.00119,0.00682,1,0,0
PG1257_text.txt,82596,0.727,5,200,0.00278,0.00284,0.00259,0.00682,0,0,0
PG1257_text.txt,82596,0.727,5,300,0.0043,6e-05,0.00257,0.00682,0,0,0
PG1257_text.txt,82596,0.727,6,1,0.12024,0.00145,0.00719,0.00682,1,0,1
PG1257_text.txt,82596,0.727,6,2,0.06658,-0.00511,-5e-05,0.00682,1,0,0
PG1257_text.txt,82596,0.727,6,5,0.03926,0.00219,0.00379,0.00682,1,0,0
PG1257_text.txt,82596,0.727,6,10,0.0204,-0.00161,-0.00411,0.00682,1,0,0
PG1257_text.txt,82596,0.727,6,20,0.01767,0.00116,0.00613,0.00682,1,0,0
PG1257_text.txt,82596,0.727,6,50,0.00826,0.00309,-0.0019,0.00682,1,0,0
PG1257_text.txt,82596,0.727,6,100,0.01633,-0.00586,-0.00323,0.00682,1,0,0
PG1257_text.txt,82596,0.727,6,200,0.01467,-0.0005,-0.00393,0.00682,1,0,0
PG1257_text.txt,82596,0.727,6,300,0.00771,-0.00049,-0.00012,0.00682,1,0,0
PG1257_text.txt,82596,0.727,7,1,0.09474,-0.00225,-0.00193,0.00682,1,0,0
PG1257_text.txt,82596,0.727,7,2,0.05327,-0.00167,-0.00097,0.00682,1,0,0
PG1257_text.txt,82596,0.727,7,5,0.02748,-0.00355,-0.00509,0.00682,1,0,0
PG1257_text.txt,82596,0.727,7,10,0.01069,0.00238,0.00062,0.00682,1,0,0
PG1257_text.txt,82596,0.727,7,20,0.00724,0.01005,-0.00814,0.00682,1,1,1
PG1257_text.txt,82596,0.727,7,50,0.0102,-0.00122,0.00447,0.00682,1,0,0
PG1257_text.txt,82596,0.727,7,100,0.01188,0.00266,0.00197,0.00682,1,0,0
PG1257_text.txt,82596,0.727,7,200,-0.00228,0.00137,0.0005,0.00682,0,0,0
PG1257_text.txt,82596,0.727,7,300,-0.00209,0.00379,-0.00227,0.00682,0,0,0
PG1257_text.txt,82596,0.727,8,1,0.12933,0.00223,-0.00378,0.00682,1,0,0
PG1257_text.txt,82596,0.727,8,2,0.08338,-0.00246,0.00366,0.00682,1,0,0
PG1257_text.txt,82596,0.727,8,5,0.04681,0.00858,-0.00081,0.00682,1,1,0
PG1257_text.txt,82596,0.727,8,10,0.03244,0.00086,0.00116,0.00682,1,0,0
PG1257_text.txt,82596,0.727,8,20,0.02893,-0.00068,-0.00145,0.00682,1,0,0
PG1257_text.txt,82596,0.727,8,50,0.01259,0.00127,-0.00349,0.00682,1,0,0
PG1257_text.txt,82596,0.727,8,100,0.01752,-0.00029,0.00331,0.00682,1,0,0
PG1257_text.txt,82596,0.727,8,200,0.01202,-0.00694,0.00211,0.00682,1,1,0
